# x y width height note start_time duration final_position_x final_position_y
200 350 50 50 740.0 3.0 1.5 350 350
350 350 50 50 622.0 4.5 1.5 350 200
350 200 50 50 622.0 6.0 1.5 200 200
200 240 50 50 659.0 7.5 1.5 350 240
350 240 50 50 554.0 9.0 1.5 350 390
350 390 50 50 554.0 10.5 1.5 200 390
200 390 50 50 494.0 12.0 1.0 300 300
260 300 50 50 622.0 13.0 1.0 360 200
320 200 50 50 740.0 14.0 1.0 420 100
200 350 50 50 740.0 16.0 1.5 350 350
350 350 50 50 622.0 17.5 1.5 350 200
350 200 50 50 622.0 19.0 1.5 200 200
200 240 50 50 659.0 20.5 1.5 350 240
350 240 50 50 554.0 22.0 1.5 350 390
350 390 50 50 554.0 23.5 1.5 200 390
200 390 50 50 494.0 25.0 1.0 300 300
260 300 50 50 622.0 26.0 1.0 360 200
320 200 50 50 494.0 27.0 1.0 470 200
